what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340366584410
activated,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340366588665
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340366591200
closed,editor,ie.tcd.everm.evedsl.ui,1.0.0,"ie.tcd.everm.evedsl.EveDesc",1340366591201
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340366593132
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366598715
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366598747
error,log,,,"ie.tcd.everm.evedsl.ui.EveDescExecutableExtensionFactory  - com.google.common.util.concurrent.UncheckedExecutionException: com.google.inject.CreationException: Guice creation errors:\n\n1) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for parameter 0 at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n2) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.common.types.xtext.ui.JdtTypesProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n3) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n4) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n5) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n6) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n7) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n8) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXtypeSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n9) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.impl.Serializer.contextFinder(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n10) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n11) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.assignmentFinder(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n12) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n13) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider$ReferenceProposalCreator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n14) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n15) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.quickfix.DefaultQuickfixProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n16) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.linking.XbaseLinkingScopeProvider.delegate(Unknown Source)\n  at ie.tcd.everm.evedsl.AbstractEveDescRuntimeModule.configureLinkingIScopeProvider(AbstractEveDescRuntimeModule.java:179)\n\n17) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer.scopeProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.validation.XbaseJavaValidator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18 errors\n",1340366598947
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340366599078
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340366599152
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366613854
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366613906
error,log,,,"ie.tcd.everm.evedsl.ui.EveDescExecutableExtensionFactory  - com.google.common.util.concurrent.UncheckedExecutionException: com.google.inject.CreationException: Guice creation errors:\n\n1) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for parameter 0 at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.ui.editor.templates.AbstractTemplateProposalProvider.setScopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n2) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.common.types.xtext.ui.JdtTypesProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n3) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n4) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n5) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n6) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n7) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n8) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXtypeSemanticSequencer.diagnosticProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XtypeSemanticSequencer>\n    for field at org.eclipse.xtext.xbase.serializer.AbstractXbaseSemanticSequencer.superSequencerProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n9) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.impl.Serializer.contextFinder(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n10) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.acceptor.SequenceFeeder$Provider\n    for field at org.eclipse.xtext.serializer.sequencer.AbstractSemanticSequencer.feederProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n11) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.assignmentFinder(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n12) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.serializer.tokens.CrossReferenceSerializer.scopeProvider(Unknown Source)\n  while locating org.eclipse.xtext.serializer.tokens.ICrossReferenceSerializer\n    for field at org.eclipse.xtext.serializer.sequencer.AssignmentFinder.crossRefSerializer(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IAssignmentFinder\n    for field at org.eclipse.xtext.serializer.sequencer.ContextFinder.assignmentFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.sequencer.IContextFinder\n    for field at org.eclipse.xtext.serializer.diagnostic.SequencerDiagnosticProvider.contextFinder(Unknown Source)\n  while locating org.eclipse.xtext.serializer.diagnostic.ISemanticSequencerDiagnosticProvider\n    for field at org.eclipse.xtext.serializer.sequencer.BacktrackingSemanticSequencer.diagnosticProvider(Unknown Source)\n  at org.eclipse.xtext.service.DefaultRuntimeModule.configureGenericSemanticSequencer(DefaultRuntimeModule.java:219)\n\n13) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider$ReferenceProposalCreator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n14) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.contentassist.AbstractJavaBasedContentProposalProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n15) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.ui.editor.quickfix.DefaultQuickfixProvider.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n16) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.linking.XbaseLinkingScopeProvider.delegate(Unknown Source)\n  at ie.tcd.everm.evedsl.AbstractEveDescRuntimeModule.configureLinkingIScopeProvider(AbstractEveDescRuntimeModule.java:179)\n\n17) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer.scopeProvider(Unknown Source)\n  while locating com.google.inject.Provider<org.eclipse.xtext.xbase.serializer.XbaseSemanticSequencer>\n    for field at ie.tcd.everm.evedsl.serializer.AbstractEveDescSemanticSequencer.superSequencerProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18) No implementation for org.eclipse.xtext.scoping.IScopeProvider was bound.\n  while locating org.eclipse.xtext.scoping.IScopeProvider\n    for field at org.eclipse.xtext.xbase.validation.XbaseJavaValidator.scopeProvider(Unknown Source)\n  at org.eclipse.xtext.service.MethodBasedModule.configure(MethodBasedModule.java:55)\n\n18 errors\n",1340366614130
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366614147
error,log,,,"org.eclipse.xtext.service.CompoundModule  - java.lang.reflect.InvocationTargetException\n",1340366614184
